Project,ISA,Bits,Pipeline,FPGA Size,Toolchain,Category,Link,Notes
COR24,Custom,24,~4,Small,Custom assembler,Maker / custom CPU,https://www.makerlisp.com/cor24-soft-cpu-for-fpga,Docs only; maker-oriented custom ISA soft CPU
ZipCPU,Custom,32,5,Small–Mid,GCC (ported),Maker / custom CPU,https://github.com/ZipCPU,Strong docs + formal methods emphasis; Wishbone
LXP32,Custom,32,3,Small,GCC backend available,Maker / custom CPU,https://lxp32.github.io/,Custom FPGA-friendly 32-bit core; Wishbone
LM32,LM32 (LatticeMico32),32,Simple in-order,Small,GCC,Maker / custom CPU,https://github.com/m-labs/lm32,Open LM32 core used in some FPGA projects
Nyuzi,Custom,32,SIMD / multithreaded,Large,LLVM toolchain,Research / experimental,https://github.com/jbush001/NyuziProcessor,Manycore/SIMD-like experimental CPU
ZPU,Stack machine,32-ish,Simple,Small,GCC (zpu-elf),Alt ISA / stack,https://github.com/zylin/zpu,Stack-based CPU; tiny footprint
SERV,RISC-V RV32I (bit-serial),32,Serial,~200 LUT class,GCC/LLVM,RISC-V minimal,https://github.com/olofk/serv,Bit-serial RISC-V for extreme area savings
PicoRV32,RISC-V RV32IMC (configurable),32,Minimal,~750–2000 LUT class,GCC/LLVM,RISC-V minimal,https://github.com/YosysHQ/picorv32,Popular compact Verilog RISC-V core
FemtoRV,RISC-V RV32I (variants),32,Simple,Tiny,GCC,RISC-V minimal,https://github.com/BrunoLevy/learn-fpga,Educational minimal cores and SoCs
DarkRISCV,RISC-V RV32I/E,32,2–3,~1k LUT class,GCC,RISC-V minimal,https://github.com/darklife/darkriscv,Compact readable RISC-V core
Ibex (lowRISC),RISC-V RV32IMC,32,2-stage-ish in-order,Small–Mid,GCC/LLVM,RISC-V industrial,https://github.com/lowRISC/ibex,"Industrial-quality core, verification focus"
VexRiscv,RISC-V RV32I + optional M/A/F/D/C,32,2–5+ configurable,Configurable,GCC/LLVM,RISC-V configurable,https://github.com/SpinalHDL/VexRiscv,SpinalHDL-generated; widely used
NEORV32,RISC-V RV32I(M/C…),32,In-order,Small–Mid,GCC/LLVM,RISC-V MCU/SoC,https://github.com/stnolting/neorv32,MCU-like SoC; strong docs
Minerva,RISC-V RV32I,32,In-order,Mid,GCC,RISC-V configurable,https://github.com/lambdaconcept/minerva,Amaranth-based core
SweRV EH1,RISC-V RV32IMC,32,Dual-issue in-order,Mid,GCC/LLVM,RISC-V industrial,https://github.com/chipsalliance/Cores-SweRV,Western Digital open core
CVA6 (Ariane),RISC-V RV64GC,64,In-order,Large,GCC/LLVM,RISC-V Linux-capable,https://github.com/openhwgroup/cva6,Linux-capable RV64 core
Rocket Chip,RISC-V RV64,64,Generator (in-order),Large,GCC/LLVM,RISC-V research,https://github.com/chipsalliance/rocket-chip,Chisel-based generator
BOOM,RISC-V RV64,64,Out-of-order,Very Large,GCC/LLVM,RISC-V research,https://github.com/riscv-boom/riscv-boom,Out-of-order research core
BlackParrot,RISC-V,64,Multicore research,Very Large,GCC/LLVM,RISC-V research,https://github.com/black-parrot/black-parrot,Research multicore
Microwatt,Power ISA (subset),64,In-order,Large,GCC,Alt ISA / POWER,https://github.com/openpowerfoundation/microwatt,Open POWER softcore; can run Linux
OpenRISC 1200,OpenRISC 1000,32,5,Mid,GCC,Alt ISA / OpenRISC,https://github.com/openrisc/or1200,Classic open ISA CPU
T65,6502-compatible,8,Simple,Small,6502 assemblers,Retro / classic,https://opencores.org/projects/t65,6502-compatible core (OpenCores)
TG68K,68000-compatible,32,Simple,Mid,m68k toolchain,Retro / classic,https://opencores.org/projects/tg68,68000-compatible core (OpenCores)
OpenFire,MicroBlaze-compatible,32,Pipeline,Mid,GCC,Clone / compatible,https://opencores.org/projects/openfire,MicroBlaze-compatible core (OpenCores)
FlexPRET,RISC-V-ish / research,32,Multithreaded,Mid,GCC,Real-time research,https://github.com/pretis/flexpret,Real-time predictable threading
Patmos,Patmos ISA (T-CREST),32,In-order,Mid,LLVM (Patmos),Real-time research,https://github.com/t-crest/patmos,Time-predictable processor
ORCA,RISC-V,32,Pipeline,Mid,GCC,Research RISC-V,https://github.com/cornell-brg/orca,Research core; acceleration
Taiga,RISC-V,32,Pipeline,Mid,GCC,Research RISC-V,https://github.com/taiga-project/taiga,Research / heterogeneous
